character,traditional_character,alternate_characters,pinyin,definition,hsk_level,frequency
猷,,,yóu,"plan, scheme; plan, plot; way",,4934
竽,,,yú,ancient woodwind instrument,,4935
舸,,,gě,"large boat, barge",,4936
诓,誆,誆,kuāng,"cheat, swindle, lie",,4937
錾,鏨,鏨,zàn,"engraving tool, chisel",,4938
淬,,,cuì,"temper; dye; soak; change, alter",,4939
隗,,,kuí,high; lofty; surname,,4940
悌,,,tì,"brotherly, respectful",,4941
姘,,,pīn,illicit sexual relations,,4942
槭,,,qī,maple,,4943
邈,,,miǎo,"far, distant, remote; slight",,4944
婕,,,jié,handsome,,4945
歙,,,shè,,,4946
稹,,,zhěn,,,4947
蹴,,,cù,kick; tread on; leap; solemn,,4948
砒,,,pī,arsenic,,4949
痈,癰,癰,yōng,"carbuncle, sore, ulcer, abscess",,4950
镏,鎦,鎦,liú,distil; lutetium; surname,,4951
羯,,,jié,"wether, castrated ram; deer skin",,4952
豕,,,shǐ,"a pig, boar; KangXi radical 152",,4953
鲂,魴,魴,fáng,bream,,4954
蓖,,,bì,"castor-oil plant, Ricinus commumis",,4955
匦,匭,匭,guǐ,"small box; chest, casket",,4956
笤,,,tiáo,"a broom, a besom",,4957
峥,崢,崢,zhēng,"high, lofty, noble; steep, perilous",,4958
徭,,,yáo,"conscript labor, compulsory labor",,4959
浃,浹,浹,jiā,"saturate, drench; damp, wet",,4960
烊,,,yáng,to smelt; to melt,,4961
補,,,bǔ,"mend, patch, fix, repair, restore",,4962
窸,,,xī,"faint sound, whisper",,4963
酆,,,fēng,name of Zhou period state,,4964
缢,縊,縊,yì,"hang, strangle",,4965
褓,,,bǎo,swaddling cloth; infancy,,4966
蚨,,,fú,"a kind of water-beetle cash, then dollars and money generally",,4967
翳,,,yì,"shade, screen; to hide, screen",,4968
趔,,,liè,not progressing; to be checked,,4969
炔,,,guì,acetylene,,4970
誊,謄,謄,téng,"copy, transcribe",,4971
赜,賾,賾,zé,"abstruse, deep, profound",,4972
仃,,,dīng,"lonely, solitary",,4973
勖,,,xù,"enjoin, advise, preach to",,4974
葺,,,qì,"thatch; fix, repair; pile up",,4975
蚴,,,yòu,larva,,4976
泷,瀧,瀧,lóng,raining; wet; soaked; a river in Guangdong,,4977
蛴,蠐,蠐,qí,"maggots, grubs",,4978
結,,,jié,"knot, tie; join, connect",,4979
媸,,,chī,an ugly woman,,4980
俳,,,pái,actor; vaudeville show; insincere,,4981
诖,詿,詿,guà,"error, mistake; deceive, mislead",,4982
茑,蔦,蔦,niǎo,the convovulvus; parasitic plants such as mistletoe; Ribes ambiguum,,4983
逡,,,qūn,"retreat, withdraw, fall back",,4984
孱,,,càn,"weak, unfit, frail, feeble",,4985
砦,,,zhài,"stockade, fort, military outpost; brothel",,4986
跸,蹕,蹕,bì,"clear way, make room for; emp",,4987
祜,,,hù,"blessing, happiness, prosperity",,4988
伉,,,kàng,"compare, match; pair; spouse",,4989
溴,,,xiù,bromine,,4990
屐,,,jī,"wooden shoes, clogs",,4991
飚,飈,飈,biāo,whirlwind,,4992
蛞,,,kuò,"snail; slug, mole cricket",,4993
鏡,,,jìng,mirror; lens; glass; glasses,,4994
掮,,,qián,to bear on the shoulders,,4995
崆,,,kōng,Kongtong mountain,,4996
庾,,,yǔ,granary; storehouse,,4997
橛,,,jué,"a post, a stake; an axle",,4998
矸,,,gān,a rock or cliff,,4999
鸨,鴇,鴇,bǎo,bustard; procuress; Otis species (various),,5000
圻,,,qí,"border, boundary",,5001
缂,緙,緙,kè,the woof of a woven item,,5002
蒯,,,kuǎi,"a rush, of which various things are made",,5003
诹,諏,諏,zōu,"consult, confer; select, choose",,5004
啭,囀,囀,zhuàn,"sing, chirp, warble, twitter",,5005
饧,餳,餳,táng,"sugar, syrup; malt sugar; sticky",,5006
镉,鎘,鎘,gé,cadmium,,5007
鸪,鴣,鴣,gū,species of Taiwan pigeon,,5008
蛩,,,qióng,"cricket, locust; anxious",,5009
蠖,,,huò,inch-worm; looper caterpiller,,5010
