frequency_rank,character,pinyin,pinyin_alternates,common_word_1,common_word_1_pinyin,common_word_1_definition,common_word_2,common_word_2_pinyin,common_word_2_definition,definition,radical,radical_code,stroke_count,hsk_level,general_standard_num,traditional_character,same_simp_trad,alternate_characters
1,的,de,dí|dì,,,,,,,"possessive, adjectival suffix",白,106.3,8,1.0,1155.0,,True,
2,一,yī,,,,,,,,"one; a, an; alone",一,1.0,1,1.0,1.0,,True,
3,是,shì,,,,,,,,"indeed, yes, right; to be; demonstrative pronoun, this, that",日,72.5,9,1.0,1479.0,,True,
4,不,bù,fǒu,,,,,,,"no, not; un-; negative prefix",一,1.3,4,1.0,91.0,,True,
5,了,le,liǎo,,,,,,,to finish; particle of completed action,亅,6.1,2,1.0,17.0,,True,
6,在,zài,,,,,,,,"be at, in, on; consist in, rest",土,32.3,6,1.0,388.0,,True,
7,人,rén,,,,,,,,man; people; mankind; someone else,人,9.0,2,1.0,10.0,,True,
8,有,yǒu,yòu,,,,,,,"have, own, possess; exist",月,74.2,6,1.0,390.0,,True,
9,我,wǒ,,,,,,,,"our, us, i, me, my, we",戈,62.3,7,1.0,761.0,,True,
10,他,tā,,,,,,,,"other, another; he, she, it",人,9.3,5,1.0,277.0,,True,
11,这,zhè,zhèi,,,,,,,"this, the, here",辵,162.4,7,1.0,837.0,這,False,這
12,个,gè,gě,,,,,,,"numerary adjunct, piece; single",丨,2.2,3,1.0,45.0,個,False,個
13,们,men,,,,,,,,adjunct pronoun indicate plural,人,9.3,5,1.0,273.0,們,False,們
14,中,zhōng,zhòng,,,,,,,"central; center, middle; in the midst of; hit (target); attain",丨,2.3,4,1.0,113.0,,True,
15,来,lái,,,,,,,,"come, coming; return, returning",木,75.3,7,1.0,707.0,來,False,來
16,上,shàng,shǎng,,,,,,,"top; superior, highest; go up, send up",一,1.2,3,1.0,36.0,,True,
17,大,dà,dài|tài,,,,,,,"big, great, vast, large, high",大,37.0,3,1.0,32.0,,True,
18,为,wèi,wéi,,,,,,,"do, handle, govern, act; be",丶,3.3,4,2.0,165.0,爲,False,為|爲
19,和,hé,hè|huó|huò|hú,,,,,,,"harmony, peace; peaceful, calm",口,30.5,8,1.0,1131.0,,True,
20,国,guó,,,,,,,,"nation, country, nation-state",囗,31.5,8,1.0,1081.0,國,False,國
21,地,de,dì,,,,,,,"earth; soil, ground; region",土,32.3,6,3.0,366.0,,True,
22,到,dào,,,,,,,,"go to, arrive, been to",刀,18.6,8,2.0,1063.0,,True,
23,以,yǐ,,,,,,,,"by means of; thereby, therefore; consider as; in order to",人,9.3,4,2.0,182.0,,True,
24,说,shuō,shuì|yuè,,,,,,,"speak, say, talk; scold, upbraid",言,149.7,9,1.0,1717.0,說,False,說
25,时,shí,,,,,,,,"time, season; era, age, period",日,72.3,7,1.0,717.0,時,False,時
26,要,yào,yāo,,,,,,,"necessary, essential; necessity",襾,146.3,9,2.0,1441.0,,True,
27,就,jiù,,,,,,,,"just, simply; to come, go to; to approach, near",尢,43.9,12,2.0,2728.0,,True,
28,出,chū,,,,,,,,"go out, send out; stand; produce",凵,17.3,5,1.0,330.0,,True,
29,会,huì,kuài,,,,,,,"assemble, meet together; meeting",人,9.4,6,1.0,486.0,會,False,會
30,可,kě,kè,,,,,,,"may, can, -able; possibly",口,30.2,5,2.0,212.0,,True,
31,也,yě,,,,,,,,also; classical final particle of strong affirmation or identity,乙,5.2,3,2.0,66.0,,True,
32,你,nǐ,,,,,,,,"you, second person pronoun",人,9.5,7,1.0,782.0,,True,
33,对,duì,,,,,,,,"correct, right; facing, opposed",寸,41.2,5,1.0,341.0,對,False,對
34,生,shēng,,,,,,,,"life, living, lifetime; birth",生,100.0,5,1.0,263.0,,True,
35,能,néng,nài,,,,,,,"to be able; can, permitted to; ability",肉,130.6,10,1.0,2146.0,,True,
36,而,ér,,,,,,,,and; and then; and yet; but,而,126.0,6,3.0,392.0,,True,
37,子,zi,,,,,,,,"offspring, child; fruit, seed of; 1st terrestrial branch",子,39.0,3,1.0,64.0,,True,
38,那,nà,nǎ|nèi|nā,,,,,,,"that, that one, those",邑,163.4,6,1.0,564.0,,True,
39,得,dé,děi|de,,,,,,,"obtain, get, gain, acquire",彳,60.8,11,2.0,2341.0,,True,
40,于,yú,,,,,,,,"in, on, at; go to; surname",二,7.1,3,3.0,24.0,於,False,於
41,着,zhe,zhuó|zháo|zhāo,,,,,,,"make move, take action",目,109.6,11,2.0,2398.0,,True,
42,下,xià,,,,,,,,"under, underneath, below; down; inferior; bring down",一,1.2,3,1.0,30.0,,True,
43,自,zì,,,,,,,,"self, private, personal; from",自,132.0,6,3.0,477.0,,True,
44,之,zhī,,,,,,,,"marks preceding phrase as modifier of following phrase; it, him her, them; go to",丿,4.3,3,4.0,58.0,,True,
45,年,nián,,,,,,,,,干,51.3,6,1.0,444.0,,True,
46,过,guò,guo|guō,,,,,,,"pass, pass through, go across",辵,162.3,6,2.0,379.0,過,False,過
47,发,fā,fà,,,,,,,"issue, dispatch, send out; hair",又,29.3,5,3.0,339.0,發,False,發|髮
48,后,hòu,,,,,,,,"queen, empress, sovereign; (simp. for",口,30.3,6,1.0,482.0,後,False,後
49,作,zuò,,,,,,,,"make; work; compose, write; act, perform",人,9.5,7,1.0,777.0,,True,
50,里,lǐ,,,,,,,,unit of distance; village; lane,里,166.0,7,1.0,721.0,裏,False,裏|裡
51,用,yòng,,,,,,,,"use, employ, apply, operate; use",用,101.0,5,3.0,283.0,,True,
52,道,dào,,,,,,,,"path, road, street; method, way",辵,162.9,12,2.0,2745.0,,True,
53,行,xíng,háng,,,,,,,"go; walk; move, travel; circulate",行,144.0,6,3.0,483.0,,True,
54,所,suǒ,,,,,,,,"place, location; numerary adjunct",戶,63.4,8,2.0,1164.0,,True,
55,然,rán,,,,,,,,"yes, certainly; pledge, promise",火,86.8,12,2.0,2723.0,,True,
56,家,jiā,jia|jie,,,,,,,"house, home, residence; family",宀,40.7,10,1.0,2099.0,,True,
57,种,zhǒng,zhòng|chóng,,,,,,,"seed; race, breed; to plant",禾,115.4,9,3.0,1549.0,種,False,種
58,事,shì,,,,,,,,"affair, matter, business; to serve; accident, incident",亅,6.7,8,2.0,1038.0,,True,
59,成,chéng,,,,,,,,"completed, finished, fixed",戈,62.3,6,3.0,401.0,,True,
60,方,fāng,,,,,,,,"a square, rectangle; a region; local",方,70.0,4,3.0,163.0,,True,
61,多,duō,,,,,,,,"much, many; more than, over",夕,36.3,6,1.0,507.0,,True,
62,经,jīng,,,,,,,,classic works; pass through,糸,120.5,8,2.0,1350.0,經,False,經
63,么,me,mó|ma|yāo,,,,,,,interrogative particle; repetition of a tune small; tender,丿,4.2,3,1.0,48.0,麼,False,麼
64,去,qù,,,,,,,,"go away, leave, depart",厶,28.3,5,1.0,204.0,,True,
65,法,fǎ,,,,,,,,"law, rule, regulation, statute; France, French",水,85.5,8,3.0,1241.0,,True,
66,学,xué,,,,,,,,"learning, knowledge; school",子,39.5,8,1.0,1273.0,學,False,學
67,如,rú,,,,,,,,"if, supposing; as if; like, as",女,38.3,6,3.0,578.0,,True,
68,都,dōu,dū,,,,,,,"metropolis, capital; all, the whole; elegant, refined",邑,163.9,10,1.0,1801.0,,True,
69,同,tóng,tòng,,,,,,,"same, similar; together with",口,30.3,6,1.0,427.0,,True,
70,现,xiàn,,,,,,,,"appear, manifest, become visible",玉,96.4,8,1.0,949.0,現,False,現
71,当,dāng,dàng,,,,,,,"bear, accept, undertake; just",小,42.3,6,3.0,418.0,當,False,當
72,没,méi,mò,,,,,,,"not, have not, none; drown, sink",水,85.4,7,1.0,867.0,沒,False,沒
73,动,dòng,,,,,,,,"move, happen; movement, action",力,19.4,6,2.0,353.0,動,False,動
74,面,miàn,,,,,,,,"face; surface; plane; side, dimension",面,176.0,9,1.0,1455.0,,True,麵
75,起,qǐ,,,,,,,,"rise, stand up; go up; begin",走,156.3,10,1.0,1789.0,,True,
76,看,kàn,kān,,,,,,,"look, see; examine, scrutinize",目,109.4,9,1.0,1539.0,,True,
77,定,dìng,,,,,,,,"decide, settle, fix",宀,40.5,8,3.0,1276.0,,True,
78,天,tiān,,,,,,,,"sky, heaven; god, celestial",大,37.1,4,1.0,78.0,,True,
79,分,fēn,fèn,,,,,,,divide; small unit of time etc.,刀,18.2,4,1.0,146.0,,True,
80,还,hái,huán,,,,,,,"still, yet, also, besides",辵,162.4,7,2.0,704.0,還,False,還
81,进,jìn,,,,,,,,"advance, make progress, enter",辵,162.4,7,2.0,605.0,進,False,進
82,好,hǎo,hào,,,,,,,"good, excellent, fine; well",女,38.3,6,1.0,581.0,,True,
83,小,xiǎo,,,,,,,,"small, tiny, insignificant",小,42.0,3,1.0,37.0,,True,
84,部,bù,,,,,,,,"part, division, section",邑,163.8,10,4.0,2044.0,,True,
85,其,qí,jī,,,,,,,"his, her, its, their; that",八,12.6,8,3.0,996.0,,True,
86,些,xiē,suò,,,,,,,"little, few; rather, somewhat",二,7.5,8,1.0,1069.0,,True,
87,主,zhǔ,,,,,,,,"master, chief owner; host; lord",丶,3.4,5,3.0,300.0,,True,
88,样,yàng,,,,,,,,"shape, form, pattern, style",木,75.6,10,1.0,1849.0,樣,False,樣
89,理,lǐ,,,,,,,,"reason, logic; manage",玉,96.7,11,3.0,2157.0,,True,
90,心,xīn,,,,,,,,"heart; mind, intelligence; soul",心,61.0,4,3.0,174.0,,True,
91,她,tā,jiě,,,,,,,"she, her",女,38.3,6,1.0,582.0,,True,
92,本,běn,,,,,,,,"root, origin, source; basis",木,75.1,5,1.0,210.0,,True,
93,前,qián,,,,,,,,"in front, forward; preceding",刀,18.7,9,1.0,1650.0,,True,
94,开,kāi,,,,,,,,"open; initiate, begin, start",廾,55.1,4,1.0,76.0,開,False,開
95,但,dàn,,,,,,,,"only; but, however, yet, still",人,9.5,7,2.0,774.0,,True,
96,因,yīn,,,,,,,,"cause, reason; by; because (of)",囗,31.3,6,2.0,430.0,,True,
97,只,zhǐ,zhī,,,,,,,"only, just, simply",口,30.2,5,3.0,246.0,,True,隻
98,从,cóng,zòng,,,,,,,"from, by, since, whence, through",人,9.2,4,2.0,142.0,從,False,從
99,想,xiǎng,,,,,,,,"think, speculate, plan, consider",心,61.9,13,1.0,2867.0,,True,
100,实,shí,,,,,,,,"real, true; honest, sincere",宀,40.5,8,3.0,1285.0,實,False,實
101,日,rì,,,,,,,,sun; day; daytime,日,72.0,4,2.0,112.0,,True,
102,军,jūn,,,,,,,,"army, military; soldiers, troops",車,159.2,6,5.0,552.0,軍,False,軍
103,者,zhě,,,,,,,,that which; he who; those who,老,125.4,8,3.0,969.0,,True,
104,意,yì,,,,,,,,"thought, idea, opinion; think",心,61.9,13,2.0,2996.0,,True,
105,无,wú,,,,,,,,"negative, no, not; KangXi radical 71",无,71.0,4,4.0,81.0,無,False,無
106,力,lì,,,,,,,,"power, capability, influence",力,19.0,2,3.0,19.0,,True,
107,它,tā,,,,,,,,it; other,宀,40.2,5,2.0,314.0,,True,
108,与,yǔ,yù|yú,,,,,,,"and; with; to; for; give, grant",一,1.3,3,4.0,34.0,與,False,與
109,长,zhǎng,cháng,,,,,,,long; length; excel in; leader,長,168.0,4,2.0,127.0,長,False,長
110,把,bǎ,bà,,,,,,,"hold, take; guard; regard as",手,64.4,7,3.0,655.0,,True,
111,机,jī,,,,,,,,desk; machine; moment,木,75.2,6,1.0,377.0,機,False,機
112,十,shí,,,,,,,,"ten, tenth; complete; perfect",十,24.0,2,1.0,4.0,,True,
113,民,mín,,,,,,,,"people, subjects, citizens",氏,83.1,5,4.0,327.0,,True,
114,第,dì,,,,,,,,"sequence, number; grade, degree",竹,118.5,11,2.0,2322.0,,True,
115,公,gōng,,,,,,,,"fair, equitable; public; duke",八,12.2,4,2.0,148.0,,True,
116,此,cǐ,,,,,,,,"this, these; in this case, then",止,77.2,6,4.0,411.0,,True,
117,已,yǐ,,,,,,,,already; finished; stop,己,49.0,3,2.0,61.0,,True,
118,工,gōng,,,,,,,,"labor, work; worker, laborer",工,48.0,3,1.0,26.0,,True,
119,使,shǐ,,,,,,,,"cause, send on a mission, order; envoy, messenger, ambassador",人,9.6,8,4.0,1139.0,,True,
120,情,qíng,,,,,,,,"feeling, sentiment, emotion",心,61.8,11,2.0,2438.0,,True,
121,明,míng,,,,,,,,"bright, light, brilliant; clear",日,72.4,8,1.0,1087.0,,True,
122,性,xìng,,,,,,,,"nature, character, sex",心,61.5,8,4.0,1268.0,,True,
123,知,zhī,zhì,,,,,,,"know, perceive, comprehend",矢,111.3,8,2.0,1122.0,,True,
124,全,quán,,,,,,,,"maintain, keep whole or intact",入,11.4,6,4.0,485.0,,True,
125,三,sān,,,,,,,,three,一,1.2,3,1.0,22.0,,True,
126,又,yòu,,,,,,,,"and, also, again, in addition",又,29.0,2,3.0,21.0,,True,
127,关,guān,,,,,,,,frontier pass; close; relation,八,12.4,6,1.0,532.0,關,False,關
128,点,diǎn,,,,,,,,"dot, speck, spot; point, degree",火,86.5,9,1.0,1469.0,點,False,點
129,正,zhèng,zhēng,,,,,,,"right, proper, correct",止,77.1,5,2.0,198.0,,True,
130,业,yè,,,,,,,,"profession, business; GB radical 111",一,1.4,5,3.0,231.0,業,False,業
131,外,wài,,,,,,,,"out, outside, external; foreign",夕,36.2,5,2.0,293.0,,True,
132,将,jiāng,jiàng,,,,,,,"will, going to, future; general",爿,90.6,9,4.0,1617.0,將,False,將
133,两,liǎng,,,,,,,,"two, both, pair, couple; ounce",一,1.6,7,2.0,697.0,兩,False,兩
134,高,gāo,,,,,,,,"high, tall; lofty, elevated",高,189.0,10,1.0,2021.0,,True,
135,间,jiān,jiàn,,,,,,,"midpoint, space; place, locality",門,169.4,7,2.0,847.0,間,False,間
136,由,yóu,,,,,,,,"cause, reason; from",田,102.0,5,4.0,245.0,,True,
137,问,wèn,,,,,,,,"ask about, inquire after",門,169.3,6,2.0,528.0,問,False,問
138,很,hěn,,,,,,,,"very, quite, much",彳,60.6,9,1.0,1584.0,,True,
139,最,zuì,,,,,,,,"most, extremely, exceedingly",曰,73.8,12,2.0,2614.0,,True,
140,重,zhòng,chóng,,,,,,,"heavy, weighty; double",里,166.2,9,3.0,1552.0,,True,
141,并,bìng,bīng,,,,,,,,干,51.5,6,4.0,531.0,並,False,並
142,物,wù,,,,,,,,"thing, substance, creature",牛,93.4,8,3.0,1127.0,,True,
143,手,shǒu,,,,,,,,hand,手,64.0,4,2.0,121.0,,True,
144,应,yīng,yìng,,,,,,,"should, ought to, must",广,53.4,7,3.0,836.0,應,False,應
145,战,zhàn,,,,,,,,"war, fighting, battle",戈,62.5,9,5.0,1468.0,戰,False,戰
146,向,xiàng,,,,,,,,"toward, direction, trend",口,30.3,6,3.0,480.0,,True,
147,头,tóu,tou,,,,,,,"head; top; chief, first; boss",大,37.2,5,3.0,310.0,頭,False,頭
148,文,wén,,,,,,,,"literature, culture, writing",文,67.0,4,3.0,161.0,,True,
149,体,tǐ,tī,,,,,,,"body; group, class, body, unit; inferior",人,9.5,7,2.0,770.0,體,False,體
150,政,zhèng,,,,,,,,"government, political affairs",攴,66.4,9,5.0,1376.0,,True,
151,美,měi,,,,,,,,"beautiful, pretty; pleasing",羊,123.3,9,4.0,1642.0,,True,
152,相,xiāng,xiàng,,,,,,,"mutual, reciprocal, each other",目,109.4,9,3.0,1430.0,,True,
153,见,jiàn,xiàn,,,,,,,"see, observe, behold; perceive",見,147.0,4,1.0,118.0,見,False,見
154,被,bèi,pī,,,,,,,,衣,145.5,10,3.0,2118.0,,True,
155,利,lì,,,,,,,,"gains, advantage, profit, merit",刀,18.5,7,4.0,763.0,,True,
156,什,shén,shí,,,,,,,"file of ten soldiers; mixed, miscellaneous",人,9.2,4,1.0,129.0,,True,
157,二,èr,,,,,,,,two; twice,二,7.0,2,1.0,3.0,,True,
158,等,děng,,,,,,,,,竹,118.6,12,2.0,2681.0,,True,
159,产,chǎn,,,,,,,,"give birth, bring forth, produce",立,117.1,6,5.0,522.0,產,False,產
160,或,huò,,,,,,,,"or, either, else; perhaps, maybe",戈,62.4,8,3.0,1035.0,,True,
161,新,xīn,,,,,,,,"new, recent, fresh, modern",斤,69.9,13,2.0,2994.0,,True,
162,己,jǐ,,,,,,,,"self, oneself; personal, private; 6th heavenly stem",己,49.0,3,3.0,60.0,,True,
163,制,zhì,,,,,,,,system; establish; overpower,刀,18.6,8,5.0,1121.0,,True,
164,身,shēn,,,,,,,,"body; trunk, hull; rad. no. 158",身,158.0,7,2.0,786.0,,True,
165,果,guǒ,,,,,,,,fruit; result,木,75.4,8,1.0,1079.0,,True,
166,加,jiā,,,,,,,,"add to, increase, augment",力,19.3,5,3.0,335.0,,True,
167,西,xī,,,,,,,,"west(ern); westward, occident",襾,146.0,6,1.0,384.0,,True,
168,斯,sī,,,,,,,,"this, thus, such; to lop off; emphatic particle",斤,69.8,12,6.0,2541.0,,True,
169,月,yuè,,,,,,,,moon; month; KangXi radical 74,月,74.0,4,1.0,150.0,,True,
170,话,huà,,,,,,,,"speech, talk, language; dialect",言,149.6,8,1.0,1296.0,話,False,話
171,合,hé,gě,,,,,,,"combine, unite, join; gather",口,30.3,6,4.0,488.0,,True,
172,回,huí,,,,,,,,"return, turn around; a time",囗,31.3,6,1.0,438.0,,True,
173,特,tè,,,,,,,,"special, unique, distinguished",牛,93.6,10,3.0,1938.0,,True,
174,代,dài,,,,,,,,"replace, replacement (of person or generation); era, generation",人,9.3,5,5.0,271.0,,True,
175,内,nèi,nà,,,,,,,inside,入,11.2,4,4.0,116.0,內,False,內
176,信,xìn,shēn,,,,,,,"trust, believe; letter",人,9.7,9,3.0,1570.0,,True,
177,表,biǎo,,,,,,,,"show, express, manifest, display",衣,145.3,8,2.0,951.0,,True,
178,化,huà,huā,,,,,,,"change, convert, reform; -ize",匕,21.2,4,3.0,132.0,,True,
179,老,lǎo,,,,,,,,"old, aged; experienced",老,125.0,6,1.0,360.0,,True,
180,给,gěi,jǐ,,,,,,,"give; by, for",糸,120.6,9,2.0,1758.0,給,False,給
181,世,shì,,,,,,,,generation; world; era,一,1.4,5,3.0,206.0,,True,
182,位,wèi,,,,,,,,"throne; position, post; rank, status; seat",人,9.5,7,3.0,784.0,,True,
183,次,cì,,,,,,,,"order, sequence; next",欠,76.2,6,2.0,521.0,,True,
184,度,dù,duó,,,,,,,"degree, system; manner; to consider",广,53.6,9,4.0,1622.0,,True,
185,门,mén,,,,,,,,"gate, door, entrance, opening",門,169.0,3,2.0,55.0,門,False,門
186,任,rèn,rén,,,,,,,"trust to, rely on, appoint; to bear, duty, office; allow",人,9.4,6,4.0,467.0,,True,
187,常,cháng,,,,,,,,"common, normal, frequent, regular",巾,50.8,11,2.0,2257.0,,True,
188,先,xiān,,,,,,,,"first, former, previous",儿,10.4,6,1.0,446.0,,True,
189,海,hǎi,,,,,,,,"sea, ocean; maritime",水,85.7,10,4.0,2074.0,,True,
190,通,tōng,,,,,,,,"pass through, common, communicate",辵,162.7,10,4.0,2145.0,,True,
191,教,jiào,jiāo,,,,,,,"teach, class",攴,66.7,11,2.0,2179.0,,True,
192,儿,ér,,,,,,,,"son, child; KangXi radical 10",儿,10.0,2,1.0,12.0,兒,False,兒
193,原,yuán,,,,,,,,"source, origin, beginning",厂,27.8,10,4.0,1868.0,,True,
194,东,dōng,,,,,,,,"east, eastern, eastward",一,1.4,5,1.0,225.0,東,False,東
195,声,shēng,,,,,,,,"sound, voice, noise; tone; music",士,33.4,7,3.0,654.0,聲,False,聲
196,提,tí,dī|dǐ,,,,,,,hold in hand; lift in hand,手,64.9,12,3.0,2520.0,,True,
197,立,lì,,,,,,,,"stand; let stand; establish, set",立,117.0,5,5.0,302.0,,True,
198,及,jí,,,,,,,,extend; reach; come up to; and,又,29.2,3,4.0,52.0,,True,
199,比,bǐ,,,,,,,,"to compare, liken; comparison; than",比,81.0,4,2.0,105.0,,True,
200,员,yuán,yún|yùn,,,,,,,"member; personnel, staff member",口,30.4,7,2.0,737.0,員,False,員
201,解,jiě,jiè|xiè,,,,,,,"loosen, unfasten, untie; explain",角,148.6,13,3.0,2981.0,,True,
202,水,shuǐ,,,,,,,,"water, liquid, lotion, juice",水,85.0,4,1.0,117.0,,True,
203,名,míng,,,,,,,,"name, rank, title, position",口,30.3,6,1.0,505.0,,True,
204,真,zhēn,,,,,,,,"real, actual, true, genuine",目,109.5,10,2.0,1832.0,,True,
205,论,lùn,lún,,,,,,,debate; discuss; discourse,言,149.4,6,4.0,556.0,論,False,論
206,处,chù,chǔ,,,,,,,"place, locale; department",夂,34.2,5,4.0,294.0,處,False,處
207,走,zǒu,,,,,,,,"walk, go on foot; run; leave",走,156.0,7,2.0,625.0,,True,
208,义,yì,,,,,,,,"right conduct, righteousness",丿,4.2,3,5.0,57.0,義,False,義
209,各,gè,gě,,,,,,,"each, individually, every, all",口,30.3,6,4.0,506.0,,True,
210,入,rù,,,,,,,,"enter, come in(to), join",入,11.0,2,4.0,11.0,,True,
211,几,jǐ,jī,,,,,,,small table,几,16.0,2,1.0,14.0,幾,False,幾
212,口,kǒu,,,,,,,,"mouth; open end; entrance, gate",口,30.0,3,3.0,38.0,,True,
213,认,rèn,,,,,,,,"recognize, know, understand",言,149.2,4,1.0,171.0,認,False,認
214,条,tiáo,tiāo,,,,,,,"clause, condition; string, stripe",木,75.3,7,2.0,816.0,條,False,條
215,平,píng,,,,,,,,"flat, level, even; peaceful",干,51.2,5,3.0,222.0,,True,
216,系,xì,jì,,,,,,,"system; line, link, connection",糸,120.1,7,1.0,825.0,,True,
217,气,qì,,,,,,,,"steam, vapor; KangXi radical 84",气,84.0,4,1.0,122.0,氣,False,氣
218,题,tí,,,,,,,,"forehead; title, headline; theme",頁,181.9,15,2.0,3233.0,題,False,題
219,活,huó,,,,,,,,"live, exist, survive; lively",水,85.6,9,4.0,1672.0,,True,
220,尔,ěr,,,,,,,,"you; that, those; final particle",小,42.2,5,4.0,286.0,爾,False,爾
221,更,gèng,gēng,,,,,,,"more, still further, much more",曰,73.3,7,3.0,693.0,,True,
222,别,bié,biè,,,,,,,"separate, other; do not",刀,18.5,7,2.0,751.0,別,False,別
223,打,dǎ,dá,,,,,,,"strike, hit, beat; fight; attack",手,64.2,5,1.0,196.0,,True,
224,女,nǚ,rǔ,,,,,,,"woman, girl; feminine; rad. 38",女,38.0,3,1.0,67.0,,True,
225,变,biàn,,,,,,,,"change, transform, alter; rebel",又,29.6,8,3.0,1204.0,變,False,變
226,四,sì,,,,,,,,four,囗,31.2,5,1.0,262.0,,True,
227,神,shén,,,,,,,,"spirit, god, supernatural being",示,113.5,9,5.0,1711.0,,True,
228,总,zǒng,,,,,,,,"collect; overall, altogether",八,12.7,9,3.0,1654.0,總,False,總
229,何,hé,hē|hè,,,,,,,"what, why, where, which, how",人,9.5,7,4.0,771.0,,True,
230,电,diàn,,,,,,,,electricity; electric; lightning,曰,73.1,5,1.0,242.0,電,False,電
231,数,shù,shǔ|shuò,,,,,,,"number; several, count; fate",攴,66.9,13,3.0,2999.0,數,False,數
232,安,ān,,,,,,,,"peaceful, tranquil, quiet",宀,40.3,6,3.0,549.0,,True,
233,少,shǎo,shào,,,,,,,"few, less, inadequate",小,42.1,4,1.0,110.0,,True,
234,报,bào,,,,,,,,"report, tell, announce",手,64.4,7,2.0,656.0,報,False,報
235,才,cái,,,,,,,,"talent, ability; just, only",手,64.0,3,3.0,29.0,,True,
236,结,jié,jiē,,,,,,,"knot, tie; join, connect",糸,120.6,9,3.0,1754.0,結,False,結
237,反,fǎn,,,,,,,,"reverse, opposite, contrary, anti",又,29.2,4,4.0,139.0,,True,
238,受,shòu,,,,,,,,"receive, accept, get; bear, stand",又,29.6,8,4.0,1174.0,,True,
239,目,mù,,,,,,,,"eye; look, see; division, topic",目,109.0,5,3.0,236.0,,True,
240,太,tài,,,,,,,,"very, too, much; big; extreme",大,37.1,4,1.0,93.0,,True,
241,量,liàng,liáng,,,,,,,"measure, quantity, capacity",里,166.5,12,4.0,2616.0,,True,
242,再,zài,,,,,,,,"again, twice, re-",冂,13.4,6,1.0,382.0,,True,
243,感,gǎn,,,,,,,,"feel, perceive, emotion",心,61.9,13,3.0,2875.0,,True,
244,建,jiàn,,,,,,,,"build, establish, erect, found",廴,54.6,8,4.0,1302.0,,True,
245,务,wù,,,,,,,,"affairs, business; must, should",夂,34.2,5,2.0,297.0,務,False,務
246,做,zuò,,,,,,,,"work, make; act",人,9.9,11,1.0,2324.0,,True,
247,接,jiē,,,,,,,,receive; continue; catch; connect,手,64.8,11,3.0,2185.0,,True,
248,必,bì,,,,,,,,"surely, most certainly; must",心,61.1,5,3.0,321.0,,True,
249,场,chǎng,cháng,,,,,,,"open space, field, market",土,32.3,6,2.0,367.0,場,False,場
250,件,jiàn,,,,,,,,numerary adjunct for article; matter,人,9.4,6,2.0,466.0,,True,
251,计,jì,,,,,,,,"plan, plot; strategem; scheme",言,149.2,4,4.0,168.0,計,False,計
252,管,guǎn,,,,,,,,"pipe, tube, duct; woodwind music",竹,118.8,14,4.0,3123.0,,True,
253,期,qī,jī,,,,,,,period of time; date; time limit,月,74.8,12,1.0,2542.0,,True,
254,市,shì,,,,,,,,"market, fair; city, town; trade",巾,50.2,5,3.0,301.0,,True,
255,直,zhí,,,,,,,,"straight, erect, vertical",目,109.3,8,3.0,1011.0,,True,
256,德,dé,,,,,,,,"ethics, morality, virtue",彳,60.12,15,5.0,3272.0,,True,
257,资,zī,,,,,,,,property; wealth; capital,貝,154.6,10,4.0,2039.0,資,False,資
258,命,mìng,,,,,,,,"life; destiny, fate, luck; an order, instruction",口,30.5,8,4.0,1168.0,,True,
259,山,shān,,,,,,,,"mountain, hill, peak",山,46.0,3,3.0,39.0,,True,
260,金,jīn,,,,,,,,gold; metals in general; money,金,167.0,8,4.0,1166.0,,True,
261,指,zhǐ,,,,,,,,"finger, toe; point, indicate",手,64.6,9,4.0,1389.0,,True,
262,克,kè,,,,,,,,gram; overcome; transliteration,儿,10.5,7,4.0,675.0,,True,
263,许,xǔ,hǔ,,,,,,,"allow, permit; promise; betroth",言,149.4,6,4.0,554.0,許,False,許
264,统,tǒng,,,,,,,,"govern, command, control; unite",糸,120.6,9,5.0,1765.0,統,False,統
265,区,qū,ōu,,,,,,,"area, district, region, ward",匸,23.2,4,4.0,94.0,區,False,區
266,保,bǎo,,,,,,,,"protect, safeguard, defend, care",人,9.7,9,4.0,1562.0,,True,
267,至,zhì,,,,,,,,"reach, arrive; extremely, very",至,133.0,6,4.0,410.0,,True,
268,队,duì,,,,,,,,"team, group; army unit",阜,170.2,4,4.0,180.0,隊,False,隊
269,形,xíng,,,,,,,,"form, shape, appearance",彡,59.4,7,5.0,604.0,,True,
270,社,shè,,,,,,,,"god of the soil and altars to him; group of families; company, society",示,113.3,7,4.0,890.0,,True,
271,便,biàn,pián,,,,,,,"convenience, ease; expedient",人,9.7,9,2.0,1556.0,,True,
272,空,kōng,kòng|kǒng,,,,,,,"empty, hollow, bare, deserted",穴,116.3,8,3.0,1282.0,,True,
273,决,jué,,,,,,,,"decide, determine, judge",冫,15.4,6,3.0,523.0,決,False,決
274,治,zhì,,,,,,,,"govern, regulate, administer",水,85.5,8,5.0,1264.0,,True,
275,展,zhǎn,,,,,,,,"open, unfold; stretch, extend",尸,44.7,10,4.0,2131.0,,True,
276,马,mǎ,,,,,,,,horse; surname; KangXi radical 187,馬,187.0,3,3.0,72.0,馬,False,馬
277,科,kē,,,,,,,,"section, department, science",禾,115.4,9,4.0,1551.0,,True,
278,司,sī,,,,,,,,"take charge of, control, manage; officer",口,30.2,5,2.0,325.0,,True,
279,五,wǔ,,,,,,,,five; surname,二,7.2,4,1.0,88.0,,True,
