frequency_rank,character,pinyin,pinyin_alternates,common_word_1,common_word_1_pinyin,common_word_1_definition,common_word_2,common_word_2_pinyin,common_word_2_definition,definition,radical,radical_code,stroke_count,hsk_level,general_standard_num,traditional_character,same_simp_trad,alternate_characters
908,赶,gǎn,,,,,,,,"pursue, follow; expel, drive away",走,156.3,10,4.0,1788.0,趕,False,趕
909,剧,jù,,,,,,,,"theatrical plays, opera, drama",刀,18.8,10,4.0,2132.0,劇,False,劇
910,票,piào,,,,,,,,slip of paper or bamboo; ticket,示,113.6,11,2.0,2235.0,,True,
911,损,sǔn,,,,,,,,diminish; impair; injure,手,64.7,10,5.0,1798.0,損,False,損
912,忽,hū,,,,,,,,"suddenly, abruptly; neglect",心,61.4,8,5.0,1197.0,,True,
913,巨,jù,,,,,,,,"large, great, enormous; chief",工,48.2,4,5.0,101.0,,True,
914,炮,pào,,,,,,,,"large gun, cannon; artillery",火,86.5,9,5.0,1658.0,,True,
915,旧,jiù,,,,,,,,"old, ancient; former, past",日,72.1,5,3.0,232.0,舊,False,舊
916,端,duān,,,,,,,,"end, extreme; head; beginning",立,117.9,14,6.0,3151.0,,True,
917,探,tàn,,,,,,,,"find, locate; search, grope for",手,64.8,11,6.0,2188.0,,True,
918,湖,hú,,,,,,,,"a lake; Hubei, Hunan; bluish-green",水,85.9,12,6.0,2751.0,,True,
919,录,lù,,,,,,,,"copy, write down, record",彐,58.5,8,5.0,1304.0,錄,False,錄
920,叶,yè,,,,,,,,"to harmonize, to rhyme; to unite; (borrowed for) leaf",口,30.2,5,4.0,238.0,葉,False,葉
921,春,chūn,,,,,,,,spring; wanton,日,72.5,9,3.0,1355.0,,True,
922,乡,xiāng,,,,,,,,country; rural; village,幺,52.0,3,5.0,73.0,鄉,False,鄉
923,附,fù,,,,,,,,"adhere to, append; rely on near to",阜,170.5,7,3.0,916.0,,True,
924,吸,xī,,,,,,,,"inhale, suck in; absorb; attract",口,30.4,6,4.0,431.0,,True,
925,予,yǔ,,,,,,,,"I, me; to give",亅,6.3,4,6.0,184.0,,True,
926,礼,lǐ,,,,,,,,social custom; manners; courtesy,示,113.1,5,3.0,318.0,禮,False,禮
927,港,gǎng,,,,,,,,"port, harbor; small stream; bay",水,85.9,12,6.0,2749.0,,True,
928,雨,yǔ,,,,,,,,rain; rainy; KangXi radical 173,雨,173.0,8,1.0,1041.0,,True,
929,呀,ya,,,,,,,,particle used to express surprise or mild emphasis; (Cant.) slurred form of the number ten,口,30.4,7,4.0,729.0,,True,
930,板,bǎn,,,,,,,,"plank, board; iron or tin plate",木,75.4,8,3.0,1025.0,,True,
931,庭,tíng,,,,,,,,courtyard; spacious hall or yard,广,53.7,9,5.0,1624.0,,True,
932,妇,fù,,,,,,,,married women; woman; wife,女,38.3,6,5.0,579.0,婦,False,婦
933,归,guī,,,,,,,,"return; return to, revert to",彐,58.2,5,5.0,234.0,歸,False,歸
934,睛,jīng,,,,,,,,eyeball; pupil of eye,目,109.8,13,2.0,2895.0,,True,
935,饭,fàn,,,,,,,,"cooked rice; food, meal",食,184.4,7,1.0,823.0,飯,False,飯
936,额,é,,,,,,,,"forehead; tablet, plaque; fixed",頁,181.9,15,6.0,3304.0,額,False,額
937,含,hán,,,,,,,,hold in mouth; cherish; contain,口,30.4,7,5.0,800.0,,True,
938,顺,shùn,,,,,,,,"obey, submit to, go along with",頁,181.3,9,4.0,1559.0,順,False,順
